area,area_title,occ_code,occ_title,tot_emp,loc_quotient,h_mean,a_mean
5,Arkansas,13-0000,Business and Financial Operations Occupations,"50,330",0.78,30.27,"62,950"
6,California,13-0000,Business and Financial Operations Occupations,"10,21,960",1.13,40.05,"83,310"
8,Colorado,13-0000,Business and Financial Operations Occupations,"1,90,330",1.36,37.87,"78,780"
9,Connecticut,13-0000,Business and Financial Operations Occupations,"90,490",1.02,40.98,"85,240"
10,Delaware,13-0000,Business and Financial Operations Occupations,"28,070",1.17,37.91,"78,850"
11,District of Columbia,13-0000,Business and Financial Operations Occupations,"1,04,720",2.76,47.43,"98,650"
12,Florida,13-0000,Business and Financial Operations Occupations,"4,60,150",1,32.96,"68,560"
13,Georgia,13-0000,Business and Financial Operations Occupations,"2,42,400",1.03,35.06,"72,920"
15,Hawaii,13-0000,Business and Financial Operations Occupations,"28,450",0.83,34.1,"70,930"
16,Idaho,13-0000,Business and Financial Operations Occupations,"26,520",0.7,30.64,"63,730"
17,Illinois,13-0000,Business and Financial Operations Occupations,"3,35,360",1.05,36.35,"75,600"
18,Indiana,13-0000,Business and Financial Operations Occupations,"1,17,830",0.72,31.63,"65,800"
19,Iowa,13-0000,Business and Financial Operations Occupations,"70,240",0.85,31.64,"65,810"
20,Kansas,13-0000,Business and Financial Operations Occupations,"69,610",0.95,32.78,"68,190"
21,Kentucky,13-0000,Business and Financial Operations Occupations,"73,690",0.73,30.06,"62,520"
22,Louisiana,13-0000,Business and Financial Operations Occupations,"70,270",0.69,29.68,"61,730"
23,Maine,13-0000,Business and Financial Operations Occupations,"24,390",0.75,32.17,"66,920"
24,Maryland,13-0000,Business and Financial Operations Occupations,"1,67,260",1.17,39.52,"82,200"
25,Massachusetts,13-0000,Business and Financial Operations Occupations,"2,05,570",1.08,41.34,"85,980"
26,Michigan,13-0000,Business and Financial Operations Occupations,"2,11,500",0.92,34.41,"71,580"
27,Minnesota,13-0000,Business and Financial Operations Occupations,"1,64,510",1.08,35.45,"73,740"
28,Mississippi,13-0000,Business and Financial Operations Occupations,"32,100",0.54,29.23,"60,800"
29,Missouri,13-0000,Business and Financial Operations Occupations,"1,38,940",0.93,33.25,"69,160"
30,Montana,13-0000,Business and Financial Operations Occupations,"20,840",0.84,29.66,"61,700"
31,Nebraska,13-0000,Business and Financial Operations Occupations,"49,690",0.95,31.65,"65,830"
32,Nevada,13-0000,Business and Financial Operations Occupations,"49,270",0.69,32.99,"68,620"
33,New Hampshire,13-0000,Business and Financial Operations Occupations,"28,620",0.82,35.45,"73,730"
34,New Jersey,13-0000,Business and Financial Operations Occupations,"2,38,750",1.1,41.29,"85,890"
35,New Mexico,13-0000,Business and Financial Operations Occupations,"35,850",0.83,32.34,"67,260"
36,New York,13-0000,Business and Financial Operations Occupations,"5,71,050",1.14,45.55,"94,740"
37,North Carolina,13-0000,Business and Financial Operations Occupations,"2,18,230",0.93,36.02,"74,930"
38,North Dakota,13-0000,Business and Financial Operations Occupations,"17,770",0.8,31.82,"66,190"
39,Ohio,13-0000,Business and Financial Operations Occupations,"2,81,060",0.97,33.9,"70,520"
40,Oklahoma,13-0000,Business and Financial Operations Occupations,"72,370",0.85,31.14,"64,780"
41,Oregon,13-0000,Business and Financial Operations Occupations,"91,030",0.9,34.65,"72,080"
42,Pennsylvania,13-0000,Business and Financial Operations Occupations,"2,82,660",0.91,35.96,"74,800"
44,Rhode Island,13-0000,Business and Financial Operations Occupations,"28,320",1.1,37.47,"77,940"
45,South Carolina,13-0000,Business and Financial Operations Occupations,"75,560",0.69,31.07,"64,640"
46,South Dakota,13-0000,Business and Financial Operations Occupations,"19,690",0.87,30.51,"63,470"
47,Tennessee,13-0000,Business and Financial Operations Occupations,"1,27,220",0.81,30.93,"64,340"
48,Texas,13-0000,Business and Financial Operations Occupations,"5,95,260",0.92,37.25,"77,480"
49,Utah,13-0000,Business and Financial Operations Occupations,"76,290",0.98,31.09,"64,670"
50,Vermont,13-0000,Business and Financial Operations Occupations,"15,190",0.93,32.82,"68,270"
51,Virginia,13-0000,Business and Financial Operations Occupations,"2,74,770",1.34,40.92,"85,110"
53,Washington,13-0000,Business and Financial Operations Occupations,"2,17,510",1.25,38.73,"80,560"
54,West Virginia,13-0000,Business and Financial Operations Occupations,"23,050",0.62,30.04,"62,480"
55,Wisconsin,13-0000,Business and Financial Operations Occupations,"1,41,750",0.93,31.51,"65,540"
56,Wyoming,13-0000,Business and Financial Operations Occupations,"8,510",0.59,33.34,"69,360"
1,Alabama,15-0000,Computer and Mathematical Occupations,"41,560",0.71,40.53,"84,290"
2,Alaska,15-0000,Computer and Mathematical Occupations,"5,280",0.55,38.6,"80,280"
4,Arizona,15-0000,Computer and Mathematical Occupations,"94,060",1.11,39.97,"83,140"
5,Arkansas,15-0000,Computer and Mathematical Occupations,"23,160",0.63,32.83,"68,290"
6,California,15-0000,Computer and Mathematical Occupations,"6,16,270",1.2,52.01,"1,08,190"
8,Colorado,15-0000,Computer and Mathematical Occupations,"1,16,930",1.47,46.58,"96,880"
9,Connecticut,15-0000,Computer and Mathematical Occupations,"48,420",0.96,44.51,"92,590"
10,Delaware,15-0000,Computer and Mathematical Occupations,"17,120",1.26,44.98,"93,550"
11,District of Columbia,15-0000,Computer and Mathematical Occupations,"42,120",1.95,52.21,"1,08,600"
12,Florida,15-0000,Computer and Mathematical Occupations,"2,06,930",0.79,37.87,"78,780"
13,Georgia,15-0000,Computer and Mathematical Occupations,"1,48,690",1.12,42.59,"88,590"
15,Hawaii,15-0000,Computer and Mathematical Occupations,"10,030",0.52,38.74,"80,570"
16,Idaho,15-0000,Computer and Mathematical Occupations,"14,610",0.68,34.57,"71,910"
17,Illinois,15-0000,Computer and Mathematical Occupations,"1,77,530",0.98,42.17,"87,720"
18,Indiana,15-0000,Computer and Mathematical Occupations,"59,060",0.64,36.11,"75,100"
19,Iowa,15-0000,Computer and Mathematical Occupations,"36,530",0.78,37.84,"78,720"
20,Kansas,15-0000,Computer and Mathematical Occupations,"34,560",0.83,35.21,"73,230"
21,Kentucky,15-0000,Computer and Mathematical Occupations,"32,450",0.57,34.08,"70,890"
22,Louisiana,15-0000,Computer and Mathematical Occupations,"20,480",0.35,32.14,"66,850"
23,Maine,15-0000,Computer and Mathematical Occupations,"12,270",0.67,37.23,"77,440"
24,Maryland,15-0000,Computer and Mathematical Occupations,"1,28,230",1.58,48.35,"1,00,560"
25,Massachusetts,15-0000,Computer and Mathematical Occupations,"1,41,450",1.31,47.42,"98,630"
26,Michigan,15-0000,Computer and Mathematical Occupations,"1,12,890",0.86,38.11,"79,280"
27,Minnesota,15-0000,Computer and Mathematical Occupations,"96,020",1.11,42,"87,350"
28,Mississippi,15-0000,Computer and Mathematical Occupations,"12,380",0.36,33.62,"69,920"
29,Missouri,15-0000,Computer and Mathematical Occupations,"88,360",1.04,37.7,"78,420"
30,Montana,15-0000,Computer and Mathematical Occupations,"8,660",0.62,31.44,"65,390"
31,Nebraska,15-0000,Computer and Mathematical Occupations,"30,550",1.03,37.15,"77,270"
32,Nevada,15-0000,Computer and Mathematical Occupations,"20,150",0.49,37.96,"78,960"
33,New Hampshire,15-0000,Computer and Mathematical Occupations,"21,660",1.1,45.04,"93,680"
34,New Jersey,15-0000,Computer and Mathematical Occupations,"1,44,240",1.18,48.75,"1,01,390"
35,New Mexico,15-0000,Computer and Mathematical Occupations,"15,520",0.63,37.9,"78,830"
36,New York,15-0000,Computer and Mathematical Occupations,"2,64,620",0.93,46.79,"97,320"
37,North Carolina,15-0000,Computer and Mathematical Occupations,"1,35,130",1.02,42.13,"87,630"
38,North Dakota,15-0000,Computer and Mathematical Occupations,"8,050",0.64,33.34,"69,350"
39,Ohio,15-0000,Computer and Mathematical Occupations,"1,50,790",0.92,39.46,"82,080"
40,Oklahoma,15-0000,Computer and Mathematical Occupations,"30,540",0.63,34.39,"71,540"
41,Oregon,15-0000,Computer and Mathematical Occupations,"53,550",0.94,40.93,"85,140"
42,Pennsylvania,15-0000,Computer and Mathematical Occupations,"1,58,420",0.89,40.77,"84,800"
44,Rhode Island,15-0000,Computer and Mathematical Occupations,"13,680",0.94,42.32,"88,020"
45,South Carolina,15-0000,Computer and Mathematical Occupations,"39,740",0.64,35.59,"74,030"
46,South Dakota,15-0000,Computer and Mathematical Occupations,"8,160",0.64,31.58,"65,680"
47,Tennessee,15-0000,Computer and Mathematical Occupations,"56,460",0.63,36.21,"75,310"
48,Texas,15-0000,Computer and Mathematical Occupations,"3,64,120",0.99,43.63,"90,740"
49,Utah,15-0000,Computer and Mathematical Occupations,"52,430",1.19,39.3,"81,740"
50,Vermont,15-0000,Computer and Mathematical Occupations,"7,280",0.79,36.5,"75,920"
51,Virginia,15-0000,Computer and Mathematical Occupations,"2,06,750",1.78,49.25,"1,02,430"
53,Washington,15-0000,Computer and Mathematical Occupations,"1,64,830",1.67,52.24,"1,08,660"
54,West Virginia,15-0000,Computer and Mathematical Occupations,"11,010",0.52,34.33,"71,400"
55,Wisconsin,15-0000,Computer and Mathematical Occupations,"77,540",0.9,37.06,"77,080"
56,Wyoming,15-0000,Computer and Mathematical Occupations,"3,030",0.37,32.4,"67,380"
1,Alabama,17-0000,Architecture and Engineering Occupations,"43,510",1.27,41.99,"87,340"
2,Alaska,17-0000,Architecture and Engineering Occupations,"7,930",1.42,50.96,"1,06,000"
4,Arizona,17-0000,Architecture and Engineering Occupations,"52,050",1.06,41.02,"85,330"
5,Arkansas,17-0000,Architecture and Engineering Occupations,"12,500",0.58,34.13,"70,990"
6,California,17-0000,Architecture and Engineering Occupations,"3,37,180",1.12,48.46,"1,00,800"
8,Colorado,17-0000,Architecture and Engineering Occupations,"61,970",1.34,43.8,"91,090"
9,Connecticut,17-0000,Architecture and Engineering Occupations,"34,960",1.19,42.8,"89,030"
10,Delaware,17-0000,Architecture and Engineering Occupations,"6,630",0.84,43.96,"91,430"
11,District of Columbia,17-0000,Architecture and Engineering Occupations,"11,930",0.95,52.98,"1,10,200"
12,Florida,17-0000,Architecture and Engineering Occupations,"1,06,320",0.7,36.23,"75,360"
13,Georgia,17-0000,Architecture and Engineering Occupations,"62,570",0.81,38.93,"80,970"
15,Hawaii,17-0000,Architecture and Engineering Occupations,"9,250",0.82,39.14,"81,410"
16,Idaho,17-0000,Architecture and Engineering Occupations,"13,590",1.09,39.79,"82,750"
17,Illinois,17-0000,Architecture and Engineering Occupations,"88,180",0.83,40.26,"83,730"
18,Indiana,17-0000,Architecture and Engineering Occupations,"50,580",0.94,35.51,"73,860"
19,Iowa,17-0000,Architecture and Engineering Occupations,"20,830",0.77,34.92,"72,640"
20,Kansas,17-0000,Architecture and Engineering Occupations,"24,110",0.99,37.52,"78,040"
21,Kentucky,17-0000,Architecture and Engineering Occupations,"28,270",0.85,35.37,"73,570"
22,Louisiana,17-0000,Architecture and Engineering Occupations,"31,410",0.93,40.47,"84,180"
23,Maine,17-0000,Architecture and Engineering Occupations,"9,930",0.93,36.72,"76,380"
24,Maryland,17-0000,Architecture and Engineering Occupations,"60,480",1.28,47.23,"98,250"
25,Massachusetts,17-0000,Architecture and Engineering Occupations,"74,860",1.19,44.7,"92,970"
26,Michigan,17-0000,Architecture and Engineering Occupations,"1,39,590",1.83,40.3,"83,820"
27,Minnesota,17-0000,Architecture and Engineering Occupations,"56,070",1.11,39.57,"82,300"
28,Mississippi,17-0000,Architecture and Engineering Occupations,"13,950",0.7,36.01,"74,910"
29,Missouri,17-0000,Architecture and Engineering Occupations,"38,390",0.77,38.38,"79,840"
30,Montana,17-0000,Architecture and Engineering Occupations,"7,070",0.86,34.8,"72,380"
31,Nebraska,17-0000,Architecture and Engineering Occupations,"12,400",0.72,35.21,"73,250"
32,Nevada,17-0000,Architecture and Engineering Occupations,"14,010",0.59,38.27,"79,610"
33,New Hampshire,17-0000,Architecture and Engineering Occupations,"13,950",1.21,40.98,"85,240"
34,New Jersey,17-0000,Architecture and Engineering Occupations,"51,020",0.71,45.55,"94,750"
35,New Mexico,17-0000,Architecture and Engineering Occupations,"19,880",1.39,45.72,"95,110"
36,New York,17-0000,Architecture and Engineering Occupations,"1,12,120",0.68,43.06,"89,560"
37,North Carolina,17-0000,Architecture and Engineering Occupations,"64,160",0.83,37.6,"78,210"
38,North Dakota,17-0000,Architecture and Engineering Occupations,"7,040",0.96,36.86,"76,680"
39,Ohio,17-0000,Architecture and Engineering Occupations,"96,100",1,38.29,"79,650"
40,Oklahoma,17-0000,Architecture and Engineering Occupations,"28,550",1.01,39.47,"82,100"
41,Oregon,17-0000,Architecture and Engineering Occupations,"42,290",1.27,39.06,"81,250"
42,Pennsylvania,17-0000,Architecture and Engineering Occupations,"1,04,660",1.01,38.48,"80,040"
44,Rhode Island,17-0000,Architecture and Engineering Occupations,"8,580",1.01,44.07,"91,670"
45,South Carolina,17-0000,Architecture and Engineering Occupations,"40,400",1.11,38.44,"79,960"
46,South Dakota,17-0000,Architecture and Engineering Occupations,"4,920",0.66,32.75,"68,120"
47,Tennessee,17-0000,Architecture and Engineering Occupations,"44,550",0.85,36.36,"75,630"
48,Texas,17-0000,Architecture and Engineering Occupations,"2,34,930",1.1,47.35,"98,500"
49,Utah,17-0000,Architecture and Engineering Occupations,"28,290",1.1,37.48,"77,960"
50,Vermont,17-0000,Architecture and Engineering Occupations,"6,080",1.13,38.26,"79,580"
51,Virginia,17-0000,Architecture and Engineering Occupations,"77,210",1.14,43.6,"90,700"
53,Washington,17-0000,Architecture and Engineering Occupations,"75,110",1.3,45.99,"95,660"
54,West Virginia,17-0000,Architecture and Engineering Occupations,"9,310",0.76,36,"74,880"
55,Wisconsin,17-0000,Architecture and Engineering Occupations,"52,260",1.04,34.79,"72,370"
56,Wyoming,17-0000,Architecture and Engineering Occupations,"4,300",0.9,38.77,"80,650"
1,Alabama,19-0000,"Life, Physical, and Social Science Occupations","8,560",0.54,31.18,"64,860"
2,Alaska,19-0000,"Life, Physical, and Social Science Occupations","5,980",2.34,35.92,"74,720"
4,Arizona,19-0000,"Life, Physical, and Social Science Occupations","19,950",0.88,30.84,"64,150"
5,Arkansas,19-0000,"Life, Physical, and Social Science Occupations","5,930",0.61,28.74,"59,780"
6,California,19-0000,"Life, Physical, and Social Science Occupations","1,77,450",1.29,41.18,"85,640"
8,Colorado,19-0000,"Life, Physical, and Social Science Occupations","30,330",1.43,36.62,"76,170"
9,Connecticut,19-0000,"Life, Physical, and Social Science Occupations","11,800",0.88,40.73,"84,720"
10,Delaware,19-0000,"Life, Physical, and Social Science Occupations","5,210",1.43,38.9,"80,900"
11,District of Columbia,19-0000,"Life, Physical, and Social Science Occupations","22,960",3.98,52.97,"1,10,170"
12,Florida,19-0000,"Life, Physical, and Social Science Occupations","40,130",0.58,31.38,"65,270"
13,Georgia,19-0000,"Life, Physical, and Social Science Occupations","25,580",0.72,32.51,"67,610"
15,Hawaii,19-0000,"Life, Physical, and Social Science Occupations","6,280",1.21,34.78,"72,340"
16,Idaho,19-0000,"Life, Physical, and Social Science Occupations","9,700",1.7,26.54,"55,200"
17,Illinois,19-0000,"Life, Physical, and Social Science Occupations","36,690",0.76,34.05,"70,810"
18,Indiana,19-0000,"Life, Physical, and Social Science Occupations","19,600",0.79,33.64,"69,980"
19,Iowa,19-0000,"Life, Physical, and Social Science Occupations","12,020",0.96,29.61,"61,580"
20,Kansas,19-0000,"Life, Physical, and Social Science Occupations","8,520",0.76,31.79,"66,120"
21,Kentucky,19-0000,"Life, Physical, and Social Science Occupations","8,250",0.54,29.31,"60,960"
22,Louisiana,19-0000,"Life, Physical, and Social Science Occupations","13,770",0.89,32.27,"67,120"
23,Maine,19-0000,"Life, Physical, and Social Science Occupations","4,000",0.82,30.98,"64,440"
24,Maryland,19-0000,"Life, Physical, and Social Science Occupations","41,280",1.9,44.82,"93,210"
25,Massachusetts,19-0000,"Life, Physical, and Social Science Occupations","53,530",1.85,40.99,"85,270"
26,Michigan,19-0000,"Life, Physical, and Social Science Occupations","30,440",0.87,30.49,"63,420"
27,Minnesota,19-0000,"Life, Physical, and Social Science Occupations","26,210",1.13,36.46,"75,830"
28,Mississippi,19-0000,"Life, Physical, and Social Science Occupations","6,220",0.68,29.84,"62,060"
29,Missouri,19-0000,"Life, Physical, and Social Science Occupations","17,030",0.75,30.34,"63,120"
30,Montana,19-0000,"Life, Physical, and Social Science Occupations","8,020",2.14,26.91,"55,970"
31,Nebraska,19-0000,"Life, Physical, and Social Science Occupations","6,980",0.88,30.22,"62,850"
32,Nevada,19-0000,"Life, Physical, and Social Science Occupations","8,160",0.75,31.28,"65,060"
33,New Hampshire,19-0000,"Life, Physical, and Social Science Occupations","4,180",0.79,36.45,"75,820"
34,New Jersey,19-0000,"Life, Physical, and Social Science Occupations","37,160",1.13,47.68,"99,170"
35,New Mexico,19-0000,"Life, Physical, and Social Science Occupations","11,570",1.76,40.3,"83,820"
36,New York,19-0000,"Life, Physical, and Social Science Occupations","67,740",0.89,36.67,"76,270"
37,North Carolina,19-0000,"Life, Physical, and Social Science Occupations","35,220",0.99,34.14,"71,000"
38,North Dakota,19-0000,"Life, Physical, and Social Science Occupations","3,370",1,32.37,"67,330"
39,Ohio,19-0000,"Life, Physical, and Social Science Occupations","36,250",0.83,32.03,"66,630"
40,Oklahoma,19-0000,"Life, Physical, and Social Science Occupations","10,960",0.85,32.9,"68,440"
41,Oregon,19-0000,"Life, Physical, and Social Science Occupations","20,060",1.31,31.77,"66,080"
42,Pennsylvania,19-0000,"Life, Physical, and Social Science Occupations","45,730",0.97,36.98,"76,930"
44,Rhode Island,19-0000,"Life, Physical, and Social Science Occupations","3,140",0.81,39.04,"81,190"
45,South Carolina,19-0000,"Life, Physical, and Social Science Occupations","9,350",0.56,31.45,"65,430"
46,South Dakota,19-0000,"Life, Physical, and Social Science Occupations","4,160",1.22,26.87,"55,890"
47,Tennessee,19-0000,"Life, Physical, and Social Science Occupations","17,300",0.72,31.19,"64,880"
48,Texas,19-0000,"Life, Physical, and Social Science Occupations","80,990",0.83,36.97,"76,890"
49,Utah,19-0000,"Life, Physical, and Social Science Occupations","12,660",1.07,29.47,"61,290"
50,Vermont,19-0000,"Life, Physical, and Social Science Occupations","2,650",1.07,32.31,"67,200"
51,Virginia,19-0000,"Life, Physical, and Social Science Occupations","32,480",1.05,41.21,"85,720"
53,Washington,19-0000,"Life, Physical, and Social Science Occupations","35,780",1.36,36.2,"75,290"
54,West Virginia,19-0000,"Life, Physical, and Social Science Occupations","6,200",1.1,28.05,"58,330"
55,Wisconsin,19-0000,"Life, Physical, and Social Science Occupations","20,340",0.88,30.7,"63,850"
56,Wyoming,19-0000,"Life, Physical, and Social Science Occupations","4,040",1.85,28.43,"59,130"
1,Alabama,21-0000,Community and Social Service Occupations,"18,720",0.64,21.54,"44,790"
2,Alaska,21-0000,Community and Social Service Occupations,"7,160",1.51,25.77,"53,610"
4,Arizona,21-0000,Community and Social Service Occupations,"42,850",1.02,21.7,"45,140"
5,Arkansas,21-0000,Community and Social Service Occupations,"14,310",0.79,20.04,"41,670"
6,California,21-0000,Community and Social Service Occupations,"2,82,230",1.11,27.94,"58,120"
8,Colorado,21-0000,Community and Social Service Occupations,"39,470",1,23.98,"49,870"
9,Connecticut,21-0000,Community and Social Service Occupations,"34,050",1.37,27.62,"57,440"
10,Delaware,21-0000,Community and Social Service Occupations,"6,760",1,22.74,"47,300"
11,District of Columbia,21-0000,Community and Social Service Occupations,"11,730",1.1,29.74,"61,860"
12,Florida,21-0000,Community and Social Service Occupations,"1,01,550",0.79,21.37,"44,450"
13,Georgia,21-0000,Community and Social Service Occupations,"50,540",0.77,22.49,"46,770"
15,Hawaii,21-0000,Community and Social Service Occupations,"10,550",1.1,25.71,"53,480"
16,Idaho,21-0000,Community and Social Service Occupations,"11,710",1.11,21.02,"43,710"
17,Illinois,21-0000,Community and Social Service Occupations,"84,550",0.94,23.4,"48,670"
18,Indiana,21-0000,Community and Social Service Occupations,"39,190",0.86,21.02,"43,720"
19,Iowa,21-0000,Community and Social Service Occupations,"21,370",0.92,21.74,"45,210"
20,Kansas,21-0000,Community and Social Service Occupations,"16,970",0.82,20.23,"42,090"
21,Kentucky,21-0000,Community and Social Service Occupations,"27,080",0.95,20.33,"42,280"
22,Louisiana,21-0000,Community and Social Service Occupations,"26,630",0.93,21.03,"43,740"
23,Maine,21-0000,Community and Social Service Occupations,"10,350",1.14,22.38,"46,540"
24,Maryland,21-0000,Community and Social Service Occupations,"43,090",1.07,25.53,"53,090"
25,Massachusetts,21-0000,Community and Social Service Occupations,"84,380",1.57,23.89,"49,680"
26,Michigan,21-0000,Community and Social Service Occupations,"61,720",0.95,22.81,"47,450"
27,Minnesota,21-0000,Community and Social Service Occupations,"57,870",1.34,23.55,"48,990"
28,Mississippi,21-0000,Community and Social Service Occupations,"14,190",0.84,18.99,"39,490"
29,Missouri,21-0000,Community and Social Service Occupations,"43,300",1.03,19.84,"41,270"
30,Montana,21-0000,Community and Social Service Occupations,"9,170",1.32,19.72,"41,020"
31,Nebraska,21-0000,Community and Social Service Occupations,"14,170",0.97,20.38,"42,390"
32,Nevada,21-0000,Community and Social Service Occupations,"12,780",0.63,25.34,"52,700"
33,New Hampshire,21-0000,Community and Social Service Occupations,"8,740",0.89,22.5,"46,800"
34,New Jersey,21-0000,Community and Social Service Occupations,"69,550",1.14,26.02,"54,120"
35,New Mexico,21-0000,Community and Social Service Occupations,"13,350",1.1,21.53,"44,780"
36,New York,21-0000,Community and Social Service Occupations,"1,91,680",1.36,25.78,"53,620"
37,North Carolina,21-0000,Community and Social Service Occupations,"53,050",0.81,21.92,"45,600"
38,North Dakota,21-0000,Community and Social Service Occupations,"5,690",0.91,23.98,"49,890"
39,Ohio,21-0000,Community and Social Service Occupations,"79,140",0.97,22.01,"45,790"
40,Oklahoma,21-0000,Community and Social Service Occupations,"24,000",1,19.89,"41,370"
41,Oregon,21-0000,Community and Social Service Occupations,"38,300",1.35,24.22,"50,390"
42,Pennsylvania,21-0000,Community and Social Service Occupations,"1,07,970",1.23,21.84,"45,440"
44,Rhode Island,21-0000,Community and Social Service Occupations,"9,000",1.24,25.49,"53,010"
45,South Carolina,21-0000,Community and Social Service Occupations,"25,090",0.81,20.75,"43,170"
46,South Dakota,21-0000,Community and Social Service Occupations,"6,780",1.07,19.44,"40,430"
47,Tennessee,21-0000,Community and Social Service Occupations,"32,130",0.72,20.29,"42,200"
48,Texas,21-0000,Community and Social Service Occupations,"1,17,090",0.64,23.77,"49,440"
49,Utah,21-0000,Community and Social Service Occupations,"20,320",0.93,22.12,"46,020"
50,Vermont,21-0000,Community and Social Service Occupations,"9,940",2.17,21.7,"45,140"
51,Virginia,21-0000,Community and Social Service Occupations,"58,510",1.02,24.31,"50,570"
53,Washington,21-0000,Community and Social Service Occupations,"48,550",0.99,24.87,"51,740"
54,West Virginia,21-0000,Community and Social Service Occupations,"11,480",1.1,18.7,"38,890"
55,Wisconsin,21-0000,Community and Social Service Occupations,"39,040",0.91,21.41,"44,540"
56,Wyoming,21-0000,Community and Social Service Occupations,"4,000",0.99,23.48,"48,830"
1,Alabama,23-0000,Legal Occupations,"10,060",0.66,41.71,"86,770"
2,Alaska,23-0000,Legal Occupations,"2,170",0.89,45.25,"94,130"
